OID_,ID,hydr_prcnt,drai_prcnt,bedr_prcnt,dens_prcnt,ston_prcnt,TreeMortal
13459,13825,0,0,0,0,100,2
13473,13839,26,0,0,26,100,1
13478,13844,0,0,0,66,0,4
13539,13905,46,0,0,46,76,1
13577,13946,0,0,0,100,0,1
13593,13963,19,0,0,19,100,1
13603,13973,0,0,0,0,0,5
13606,13976,0,0,0,0,0,5
13639,14010,0,0,0,0,0,4
13664,14035,43,0,0,44,44,1
13734,14107,0,100,0,0,0,2
13742,14115,0,0,0,100,0,4
13786,14160,0,0,0,2,0,2
13917,14293,7,0,0,7,7,1
13945,14322,0,0,0,0,95,5
14000,14378,0,0,0,0,100,4
14063,14441,34,0,0,34,34,2
14066,14444,0,49,0,0,0,3
14207,14589,0,0,0,0,0,4
14239,14622,0,0,1,0,0,1
14290,14677,0,0,0,0,57,5
14461,14853,9,0,91,9,100,2
14630,15027,0,0,0,100,52,4
14693,15091,26,0,0,100,0,1
14696,15094,0,0,100,0,0,4
14758,15157,1,0,0,100,1,2
14916,15316,0,0,0,100,0,2
14935,15337,0,0,90,10,0,1
14969,15372,0,0,0,100,100,4
15053,15461,0,0,0,0,0,1
15080,15491,29,0,71,29,0,1
15090,15502,2,0,0,99,99,2
15100,15512,100,0,0,0,0,3
15140,15554,0,0,0,100,0,3
15229,15647,2,0,0,100,0,1
15432,15859,0,0,0,100,0,2
15501,15930,0,0,0,0,0,3
15556,15987,94,0,0,100,0,1
15628,16060,0,0,0,100,0,3
15648,16080,0,0,0,100,0,3
15664,16096,0,0,0,100,0,1
15668,16100,12,0,0,88,0,4
15702,16135,0,0,0,100,0,1
15774,16209,0,0,0,100,0,4
15812,16248,0,0,0,100,0,2
15887,16324,23,0,0,100,0,4
15901,16340,36,0,0,100,0,2
15910,16349,9,0,0,100,10,4
15995,16437,0,0,0,100,0,1
16073,16517,0,0,0,100,0,3
16145,16589,4,0,0,45,0,1
16184,16628,0,0,29,0,0,2
16286,16732,0,100,0,0,0,3
16293,16739,0,0,100,0,0,3
16398,16846,49,0,0,100,51,2
16430,16880,0,0,0,100,0,4
16538,16992,30,0,0,100,30,2
16587,17043,0,0,63,37,0,2
16603,17059,0,0,100,0,0,2
16670,17131,12,0,0,100,89,3
16671,17132,19,0,0,23,0,2
16776,17240,51,0,0,52,52,3
16825,17290,0,0,100,0,0,1
17041,17512,0,0,28,72,0,1
17144,17616,5,0,0,14,0,1
17193,17666,0,0,0,0,0,3
17293,17769,70,0,0,100,0,1
17311,17788,0,0,0,0,0,4
17555,18045,0,0,0,95,0,2
17697,18189,0,0,0,100,0,1
17711,18203,46,0,0,100,0,1
17721,18214,69,0,0,31,0,3
17756,18251,79,0,0,79,79,1
17780,18275,0,0,0,100,0,1
17783,18278,3,0,0,100,0,3
17858,18360,0,0,0,100,0,4
17945,18449,66,0,0,100,0,1
17981,18487,0,0,0,100,0,5
